"","Symbol","Bulk_mouse","Bulk_human","IPvsInput_mouse","IPvsInput_human","IP_Geno_mouse","IP_Geno_human"
"ENSMUSG00000048482.14","Bdnf",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000030209.14","Grin2b",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000059146.12","Ntrk3",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000035936.6","Aldh5a1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000032826.17","Ank2",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000035569.17","Ankrd11",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000005871.14","Apc",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000035277.15","Arx",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000028053.13","Ash1l",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000040907.15","Atp1a3",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"ENSMUSG00000008153.11","Clstn3",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"ENSMUSG00000039419.17","Cntnap2",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"ENSMUSG00000031772.17","Cntnap4",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000003279.16","Dlgap1",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"ENSMUSG00000045103.17","Dmd",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000062209.15","Erbb4",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"ENSMUSG00000070880.10","Gad1",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"ENSMUSG00000034813.16","Grip1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000002028.12","Kmt2a",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000020716.15","Nf1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000049112.9","Oxtr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000042453.14","Reln",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"ENSMUSG00000064329.13","Scn1a",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000023033.14","Scn8a",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000005716.16","Pvalb",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"ENSMUSG00000038738.15","Shank1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000037541.20","Shank2",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000022623.15","Shank3",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ENSMUSG00000030310.10","Slc6a1",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"ENSMUSG00000043940.15","Wdfy3",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
