"","Symbol","Bulk_mouse","Bulk_human","IPvsInput_mouse","IPvsInput_human","IP_Geno_mouse","IP_Geno_human"
"ENSMUSG00000020262.15","Adarb1",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000069601.13","Ank3",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000015709.9","Arnt2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000057880.12","Abat",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000054808.14","Actn4",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000028373.16","Astn2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000031229.16","Atrx",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000024073.14","Birc6",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000034656.16","Cacna1a",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000014592.19","Camta1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000021279.4","Cdc42bpb",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000025370.6","Cdh9",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000041297.7","Cdk13",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000033063.7","Cntnap3",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000037426.17","Depdc5",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000054423.13","Cadps",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000047495.15","Dlgap2",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000036766.12","Dner",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000035954.9","Dock4",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000026131.18","Dst",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000018707.13","Dync1h1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000041911.3","Dlx1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000008489.18","Elavl2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000029505.17","Ep400",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000036800.7","Fam135b",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000020524.16","Gria1",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000021730.8","Hcn1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000030451.15","Herc2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000001985.9","Grik3",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000019828.13","Grm1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000026879.14","Gsn",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000025261.17","Huwe1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000041115.16","Iqsec2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000031540.13","Kat6a",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000058975.7","Kcnc1",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000043673.10","Kcns3",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000039057.10","Myo16",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000032220.9","Myo1e",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000034593.16","Myo5a",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000020900.15","Myh10",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000052512.17","Nav2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000018501.17","Ncor1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000022141.6","Nipbl",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000066392.11","Nrxn3",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000046178.3","Nxph1",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000029361.18","Nos1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000029765.12","Plxna4",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000051343.11","Rab11fip5",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000039607.15","Rbms3",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000022883.10","Robo1",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000102697.1","Pcdhac2",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000044791.16","Setd2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000025982.13","Sf3b1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000037996.17","Slc24a2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000024921.17","Smarca2",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"ENSMUSG00000030257.16","Srgap3",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000096054.2","Syne1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000040761.16","Spen",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000022263.9","Trio",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000026219.14","Trip12",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000034799.16","Unc13a",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000021198.16","Unc79",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000055567.17","Unc80",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000019820.9","Utrn",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000004637.15","Wwox",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ENSMUSG00000022892.10","App",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000003476.16","Crhr2",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000061576.15","Dpp6",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000050272.9","Dscam",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000031364.2","Grpr",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000032036.15","Kirrel3",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000005583.16","Mef2c",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000062991.7","Nrg1",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000051323.16","Pcdh19",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000041670.15","Rims1",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000060681.15","Slc9a6",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000063919.10","Srrm4",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000025789.9","St8sia2",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000053477.16","Tcf4",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000031997.8","Trpc6",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"ENSMUSG00000020681.14","Ace",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000023328.14","Ache",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000049744.15","Arhgap15",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000035133.8","Arhgap5",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000044288.6","Cnr1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000020231.15","Dip2a",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000036815.16","Dpp10",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000022048.8","Dpysl2",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000070047.13","Fat1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000039809.10","Gabbr2",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000059203.10","Il1rapl2",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000002900.15","Lamb1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000063065.13","Mapk3",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000015568.16","Lpl",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000071856.10","Mcc",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000038473.14","Nos1ap",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000055254.14","Ntrk2",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000036422.10","Pcdh8",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000053141.16","Ptprt",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000103255.1","Pcdhac1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000057455.12","Rit2",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000030683.11","Sez6l2",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000024042.6","Sik1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000027273.13","Snap25",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000032422.17","Snx14",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000029309.7","Sparcl1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ENSMUSG00000035864.14","Syt1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
