"","0.05 - adjusted","0.01 - adjusted","0.001 - adjusted","1e-04 - adjusted"
"RetR.Rods",0.847666396288585,0.995493924573575,1,1
"Hyp",7.31085316427057e-06,0.640468144055671,0.937524808225603,0.981610245491115
"Hyp.Hcrt",1.99682736730623e-06,2.21721542158095e-05,0.00249359566571525,0.0870927373206737
"BF",1.20655519475173e-06,0.182864391123375,1,1
"BF.Chat",0.000144074897342556,0.132874156272482,0.57403481657029,0.617345766220378
"BS",0.528352862165166,0.392848709313409,1,1
"BS.chat",0.00769907872970139,0.231036753336337,0.57403481657029,0.968734360619402
"BS.Slc6a4",0.0028716630910239,0.246602501799788,1,1
"Cb",0.468329705979426,0.758317661924308,1,1
"Cb.septin4",0.130042443019927,0.759052098857711,1,1
"Cb.pcp2",0.100446745785791,0.403536546549681,1,1
"Cb.Neurod1",0.847666396288585,0.995493924573575,1,1
"Cb.Lypd6",1.20655519475173e-06,0.029123405560601,1,1
"Cb.grp",0.310903119685828,0.245672507929376,0.57403481657029,1
"Cb.Grm2",0.0654632334035109,0.759052098857711,0.57403481657029,1
"Cb.Aldh1L1",0.534210770827633,0.69135336633184,1,1
"Cb.cnp",0.847666396288585,0.995493924573575,1,1
"Cpu",1.66229624808058e-06,0.00241640836864185,0.57403481657029,1
"Cpu.D2",2.72010591354532e-05,0.0178701642484449,0.389721891557959,1
"Cpu.D1",5.68469063313221e-06,0.00111969361305916,0.57403481657029,0.617345766220378
"Cpu.Chat",0.00107643439768376,0.00270689975099477,0.0533171144311031,0.522453940517589
"Ctx",0.000254662898774904,0.758317661924308,1,1
"Ctx.pdgfrajd340",0.847666396288585,0.995493924573575,1,1
"Ctx.etv1_ts88",0.0025313756795774,0.691266833650349,1,1
"Ctx.pnoc",6.2380031725315e-11,0.00111969361305916,0.57403481657029,1
"Ctx.Ntsr",6.2380031725315e-11,0.0154956937496445,1,1
"Ctx.glt25d2",6.2380031725315e-11,0.00111969361305916,0.378063210742457,0.617345766220378
"Ctx.Aldh1L1",0.889150596273032,0.995493924573575,1,1
"Ctx.cort",2.05496318427509e-08,0.029123405560601,0.389721891557959,0.628082432717538
"Ctx.cnp",0.829030414137392,0.995493924573575,1,1
"Epi",2.42548036174477e-05,0.207388975495964,0.689377305497027,1
"Epi.Chat",0.0130834883823107,0.106888644554165,0.57403481657029,1
"Spc",0.134808066516024,0.691266833650349,1,1
"Spc.Chat",0.00106820342473068,0.0611956515914516,0.456610932333361,0.522453940517589
"RetC.Cones",0.846348475461652,0.963243296956897,1,1
