SampleID,Kit,Fraction,CellType
Sample_6063_IP_C76VFACXX,Clonetech ,IP,CST
Sample_6063_input_C76VFACXX,Clonetech ,Input,Bulk
Sample_6062_IP_C76VFACXX,Clonetech ,IP,CST
Sample_6062_input_C76VFACXX,Clonetech ,Input,Bulk
Sample_6054_IP_C76VFACXX,Clonetech ,IP,CST
Sample_6054_INPUT_C76VFACXX,Clonetech ,Input,Bulk
